NCBIGenomeAccession	GenomeName
VGVX00000000	K_DeepCast_100m_m2_118
VGVY00000000	K_DeepCast_100m_m2_176
VGVZ00000000	K_DeepCast_100m_m2_316
VGWA00000000	K_DeepCast_250m_m1_364
VGWB00000000	M_DeepCast_400m_m2_062
VGWC00000000	M_DeepCast_65m_m1_282
VGWD00000000	K_Offshore_80m_m2_224
VGWE00000000	K_DeepCast_100m_m2_241
VGWF00000000	K_DeepCast_100m_m2_028
VGWG00000000	M_DeepCast_200m_m2_085
VGWI00000000	K_DeepCast_250m_m2_056
VGWJ00000000	M_DeepCast_400m_m2_230
VGWX00000000	K_DeepCast_150m_m2_200
VGWY00000000	M_DeepCast_200m_m2_046
VGWZ00000000	K_DeepCast_250m_m1_045
VGXA00000000	K_DeepCast_300m_m2_067
VGXB00000000	M_DeepCast_50m_m2_151
VGXC00000000	M_DeepCast_65m_m2_155
VGXD00000000	M_DeepCast_65m_m2_186
VGXE00000000	M_DeepCast_65m_mx_150
VGXF00000000	K_Offshore_80m_m2_040
VGXG00000000	K_Offshore_80m_m2_121
VGXH00000000	K_DeepCast_100m_m2_307
VGXI00000000	K_DeepCast_100m_m2_321
VGXJ00000000	M_surface_10_m1_294
VGXK00000000	K_Offshore_120m_m2_041
VGXL00000000	M_DeepCast_65m_m2_009
VGXM00000000	M_DeepCast_65m_mx_077
VGXN00000000	M_DeepCast_65m_mx_236
VGXO00000000	K_Offshore_80m_m2_006
VGXR00000000	M_surface_10_m2_213
VGXS00000000	K_Offshore_0m_mx_037
VGXU00000000	K_DeepCast_100m_m1_307
VGXV00000000	K_DeepCast_100m_m2_328
VGXW00000000	K_DeepCast_100m_mx_218
VGXX00000000	M_DeepCast_100m_m2_243
VGXY00000000	M_DeepCast_100m_mx_241
VGYB00000000	K_Offshore_120m_m2_148
VGYC00000000	K_Offshore_120m_mx_222
VGYD00000000	K_DeepCast_150m_m2_127
VGYG00000000	M_DeepCast_200m_m1_344
VGYH00000000	M_DeepCast_200m_m2_025
VGYJ00000000	M_DeepCast_200m_mx_231
VGYK00000000	K_DeepCast_250m_m1_330
VGYL00000000	K_DeepCast_250m_m1_352
VGYP00000000	K_DeepCast_35m_m1_264
VGYQ00000000	K_DeepCast_35m_m2_037
VGYR00000000	K_DeepCast_35m_m2_150
VGYT00000000	M_DeepCast_400m_m2_048
VGYV00000000	M_DeepCast_400m_m2_195
VGYW00000000	M_DeepCast_400m_m2_341
VGYX00000000	K_Offshore_40m_m2_104
VGYY00000000	M_DeepCast_50m_m2_133
VGYZ00000000	M_DeepCast_50m_m2_137
VGZA00000000	K_DeepCast_65m_m1_055
VGZB00000000	M_DeepCast_65m_m1_287
VGZC00000000	M_DeepCast_65m_m2_011
VGZD00000000	M_DeepCast_65m_m2_061
VGZE00000000	M_DeepCast_65m_m2_181
VGZG00000000	K_Offshore_80m_m1_186
VGZH00000000	K_Offshore_80m_m2_029
VGZI00000000	K_Offshore_80m_m2_128
VGZJ00000000	K_Offshore_80m_m2_185
VGZL00000000	K_Offshore_surface_m1_204
VGZN00000000	K_Offshore_surface_mx_130
VGZO00000000	K_Offshore_surface_mx_256
VGZQ00000000	M_DeepCast_65m_m2_266
VGZR00000000	K_Offshore_120m_m2_146
VGZS00000000	M_DeepCast_400m_m2_225
VGZT00000000	M_DeepCast_50m_m2_018
VGZU00000000	K_DeepCast_65m_m1_015
VGZV00000000	K_DeepCast_65m_m2_033
VGZW00000000	K_Offshore_80m_m1_004
VGZX00000000	K_Offshore_80m_m2_034
VGZY00000000	K_Offshore_80m_m2_079
VGZZ00000000	K_Offshore_80m_m2_084
VHAF00000000	K_Offshore_0m_mx_046
VHAM00000000	M_surface_10_m2_039
VHAO00000000	K_DeepCast_1200m_m2_124
VHAP00000000	K_Offshore_120m_mx_094
VHAR00000000	K_DeepCast_35m_m1_052
VHAT00000000	K_Offshore_40m_m1_004
VHAW00000000	M_DeepCast_50m_m2_146
VHAX00000000	M_DeepCast_50m_m2_245
VHBA00000000	M_surface_9_m1_271
VHBB00000000	M_surface_9_m1_296
VHBC00000000	M_surface_9_mx_199
VHBD00000000	K_Offshore_surface_m2_088
VHBE00000000	K_Offshore_surface_mx_261
VHBF00000000	M_surface_6_m1_040
VHBH00000000	K_DeepCast_100m_mx_034
VHBJ00000000	M_DeepCast_50m_m1_060
VHBK00000000	M_DeepCast_65m_m1_070
VHBL00000000	K_DeepCast_65m_m2_187
VHBM00000000	K_Offshore_80m_m1_039
VHBN00000000	K_Offshore_80m_m2_203
VHBO00000000	K_Offshore_40m_mx_046
VHBP00000000	M_DeepCast_50m_m2_218
VHBQ00000000	M_DeepCast_65m_m1_262
VHBR00000000	K_Offshore_120m_m2_035
VHBS00000000	K_DeepCast_35m_m1_037
VHBT00000000	K_Offshore_40m_m1_063
VHBV00000000	M_surface_6_m2_121
VHCA00000000	M_DeepCast_200m_m2_041
VHCC00000000	K_Offshore_40m_m1_069
VHCG00000000	K_DeepCast_0m_m1_144
VHCI00000000	M_DeepCast_100m_m1_317
VHCJ00000000	M_DeepCast_100m_m1_323
VHCL00000000	M_surface_10_m1_278
VHCM00000000	M_surface_10_m2_023
VHCN00000000	K_Offshore_120m_m2_058
VHCO00000000	K_DeepCast_150m_m2_164
VHCP00000000	M_DeepCast_200m_mx_295
VHCR00000000	K_DeepCast_35m_m1_007
VHCT00000000	K_DeepCast_35m_m2_191
VHCW00000000	M_DeepCast_400m_m2_235
VHCX00000000	K_Offshore_40m_m1_220
VHCY00000000	K_Offshore_40m_m2_239
VHCZ00000000	M_DeepCast_65m_m2_001
VHDA00000000	M_DeepCast_65m_m2_010
VHDE00000000	K_Offshore_80m_m1_157
VHDF00000000	K_Offshore_80m_m1_165
VHDG00000000	K_Offshore_80m_m2_019
VHDH00000000	K_Offshore_80m_m2_222
VHDL00000000	M_surface_9_m2_112
VFYV00000000	K_DeepCast_0m_m1_227
VFYX00000000	K_Offshore_120m_m1_195
VFYY00000000	K_Offshore_120m_m2_006
VFZC00000000	K_Offshore_40m_m2_124
VFZD00000000	M_DeepCast_50m_m2_117
VFZE00000000	K_DeepCast_65m_m1_022
VFZF00000000	K_DeepCast_65m_m1_223
VFZG00000000	M_DeepCast_65m_m2_224
VFZH00000000	K_Offshore_80m_m2_020
VFZI00000000	K_Offshore_80m_m2_035
VFZK00000000	K_Offshore_80m_m2_092
VFZL00000000	K_Offshore_80m_m2_117
VFZN00000000	M_surface_10_m1_251
VFZO00000000	M_DeepCast_100m_m2_066
VFZP00000000	M_DeepCast_100m_m2_149
VFZQ00000000	M_DeepCast_100m_mx_118
VFZS00000000	K_DeepCast_250m_m1_110
VFZT00000000	K_DeepCast_250m_m2_119
VFZU00000000	K_Offshore_40m_m2_176
VFZV00000000	M_DeepCast_50m_m2_162
VFZW00000000	K_DeepCast_65m_m2_251
VFZX00000000	K_Offshore_80m_m2_003
VFZY00000000	K_Offshore_80m_m2_102
VGAA00000000	M_surface_7_m2_032
VGAB00000000	M_surface_7_m2_239
VGAC00000000	M_surface_8_m2_026
VGAE00000000	M_surface_9_m1_009
VGAF00000000	M_surface_9_m1_017
VGAG00000000	M_surface_9_m2_080
VGAH00000000	M_surface_9_m2_101
VGAI00000000	M_surface_10_m2_076
VGAJ00000000	M_surface_10_m2_136
VGAK00000000	M_surface_10_m2_188
VGAL00000000	K_Offshore_0m_m1_007
