MAG	KigC100	KigC1200	KigC150	KigC250	KigC300	KigCa35	KigCa65	KigCas0	KigOff0	KigOff120	KigOff40	KigOff80	KigOffSurface	MahC100	MahC200	MahC400	MahCa10	MahCa50	MahCa65	Mahsurface_10	Mahsurface_6	Mahsurface_7	Mahsurface_8	Mahsurface_9
K_DeepCast_65m_m1_055	5.44	6.62	5.27	3.87	4.12	0.92	26.95	0.60	0.20	23.32	0.37	22.60	0.29	11.75	15.64	12.61	4.05	27.07	15.39	0.29	0.16	0.18	0.60	0.24
K_DeepCast_35m_m1_077	7.40	6.58	6.24	7.21	4.63	13.75	7.72	14.08	6.54	6.29	10.04	8.09	7.72	8.90	4.81	6.97	8.85	7.33	4.25	10.76	8.22	8.81	12.73	13.09
K_Offshore_120m_m2_058	3.40	6.52	4.89	3.67	3.60	0.51	29.17	0.45	0.34	57.07	0.52	22.77	0.39	5.41	6.16	5.85	0.59	33.74	12.22	0.42	0.27	0.50	0.48	0.31
M_surface_9_m1_017	9.33	6.45	6.73	8.80	5.36	19.27	5.56	21.25	12.76	1.99	21.68	4.34	15.93	15.03	4.88	11.04	14.98	5.78	3.88	20.85	20.32	20.48	23.34	23.66
K_DeepCast_250m_mx_219	4.51	6.42	8.92	10.05	8.55	0.01	0.02	0.00	0.00	0.03	0.48	0.16	0.09	1.28	11.20	7.55	0.21	0.07	0.41	0.05	0.02	0.24	0.12	0.13
M_DeepCast_65m_m1_070	21.62	6.39	8.71	3.14	5.50	0.54	11.85	0.43	0.21	18.08	0.67	15.19	0.46	11.04	6.64	5.70	1.25	12.81	21.09	0.34	0.91	0.54	0.72	0.72
K_DeepCast_250m_m2_015	3.03	6.31	5.12	9.18	9.55	0.00	0.01	0.00	0.00	0.06	0.00	0.04	0.00	0.64	10.36	10.09	0.00	0.03	0.08	0.00	0.00	0.01	0.00	0.00
M_DeepCast_200m_m2_052	1.43	6.31	3.12	10.19	9.57	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.33	14.66	9.43	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00
K_Offshore_surface_m2_020	9.50	6.27	5.77	6.79	7.41	11.39	7.38	28.14	8.79	1.26	5.67	3.67	70.21	1.73	1.08	3.41	4.67	1.41	0.95	18.98	19.37	17.21	20.53	14.50
K_DeepCast_300m_m1_220	2.51	6.25	2.95	4.25	6.62	1.18	1.67	1.49	0.89	5.65	1.31	2.34	2.56	1.79	5.93	6.19	0.62	2.77	1.13	1.15	1.62	1.00	1.08	1.03
K_DeepCast_35m_m2_009	7.50	6.17	6.40	7.97	5.30	22.40	6.95	14.21	6.03	3.47	8.12	4.66	5.46	4.82	3.35	4.31	5.18	2.81	2.31	3.35	1.01	2.12	3.48	2.03
K_DeepCast_150m_m1_051	8.36	6.12	8.48	5.74	6.81	0.00	0.03	0.00	0.00	0.01	0.00	0.00	0.00	2.33	7.88	5.57	0.00	0.00	0.75	0.00	0.00	0.00	0.00	0.00
K_Offshore_80m_m2_128	2.72	6.10	3.98	2.52	3.52	0.65	19.41	0.60	0.24	16.06	0.37	28.37	0.26	2.73	2.54	2.24	0.72	11.22	4.75	0.31	0.19	0.23	0.38	0.29
K_DeepCast_150m_m2_147	8.65	6.07	11.68	7.02	7.26	0.00	0.06	0.00	0.00	0.05	0.00	0.02	0.00	3.70	11.59	6.46	0.00	0.02	1.92	0.00	0.00	0.01	0.00	0.00
M_DeepCast_65m_mx_150	12.60	6.00	6.41	4.08	4.74	4.52	11.11	6.09	3.81	13.77	4.60	10.72	4.78	9.15	5.86	6.02	3.37	9.92	48.63	4.36	1.54	3.18	3.41	2.69
K_Offshore_80m_m1_189	3.18	5.99	3.79	2.34	4.15	0.20	13.75	0.08	0.03	29.74	0.15	34.32	0.05	3.14	2.56	3.20	0.47	15.65	10.91	0.03	0.11	0.03	0.05	0.04
