Taxonomy	KigC100	KigC150	KigC250	KigC1200	KigC300	KigCa35	KigCa65	KigCas0	KigOff0	KigOff120	KigOff40	KigOff80	KigOffSurface	MahC100	MahC200	MahC400	MahCa10	MahCa50	MahCa65	Mahsurface_10	Mahsurface_6	Mahsurface_7	Mahsurface_8	Mahsurface_9
CP Aminicemantes (OP8)	22.99991062	35.80718663	46.34442702	34.43023844	46.35569748	0.00897859	0.075933401	0.007255889	0.004847193	0.056956284	0.005129844	0.039525883	0.012133003	5.656943518	53.8715505	63.07905694	0.012081806	0.035528048	1.223372669	0.036450947	0.027246898	0.113267355	0.019327527	0.023174804
CP Bathyarchaeota	4.486367394	7.994224498	17.38267286	10.67136092	16.76020775	0.008020074	0.019578527	0.00061781	0.000624183	0.065261887	0.242723351	0.152753826	0.055559919	1.021535515	17.3492494	19.70612736	0.128578011	0.072233524	0.223677744	0.029570714	0.021945854	0.115273654	0.090838042	0.061322923
CP BRC1	0.09983778	0.239345479	0.845412175	9.510433751	2.763739302	0.059180483	0.023037243	0.03719803	0.017324709	0.003029902	0.019682722	0.004402238	0.018855416	0.032715667	0.745165354	5.878357475	0.015215219	0.009216294	0.016125246	0.01367538	0.00652838	0.025196329	0.009272426	0.023520322
CP Eisenbacteria	97.27298448	78.95301098	102.1875103	75.05119107	118.972978	0.050884776	0.219146153	0.027557193	0.025816189	0.083284224	0.027304689	0.075710473	0.027048132	19.46300748	127.4291727	151.9025617	0.024220349	0.081718968	4.010259998	0.037026641	0.03294237	0.094137285	0.031698955	0.034588238
CP Gottesmanbacteria	4.595548875	8.850062379	19.14900418	15.36397653	17.925509	0.001596785	0.010006109	0	0.001048875	0.002337621	0	0.000409003	0	1.297828296	17.68051061	20.38656559	0.001204823	0.00306045	0.192814791	0.001402251	0.001338907	0.002170096	0.000160772	0.000119293
CP Gribaldobacteria	0.391355294	1.108836471	5.041428824	5.459035294	6.400976471	0.000838235	0.001569412	0	0.000117647	0.006520588	0	0.000872353	0	0.094735294	4.969052941	8.823738824	0	0.00765	0.025937059	0.001007059	0.000221765	0.003232353	0	0.000561176
CP Handelsmanbacteria	2.234647177	3.848743548	2.936429435	4.97472379	2.731241532	0.272392742	21.74393871	0.044262903	0.015614919	34.66186895	0.08175121	21.3661879	0.016574597	3.827354435	4.341195161	4.578240726	0.60106371	25.09406169	9.276533871	0.012054435	0.022994758	0.010622984	0.048496774	0.015510081
CP Harrisonbacteria	5.10795	5.840125	3.031825	7.269641667	4.080866667	0.626225	21.75055833	0.489375	0.259558333	53.96006667	1.357083333	28.904475	0.686475	5.038791667	3.993933333	5.084366667	0.676558333	34.86551667	12.901325	0.257816667	0.559516667	0.187966667	0.305991667	0.447341667
CP Hydrogenedentes	3.659591393	1.038356383	0.443261509	0.474263443	0.764267602	0.012447485	0.090905899	0.012809381	0.008602418	0.120172534	0.009645068	0.094587234	0.011637137	1.348861605	1.06503559	0.649667118	0.012870696	0.083582592	7.689124371	0.00826499	0.01126528	0.01133588	0.011065764	0.005625629
CP Kaiserbacteria	50.12664851	20.49777705	7.085819801	11.33125312	11.02116291	3.252404947	7.612628754	4.033775986	2.568602733	8.495155552	3.25671027	6.365086078	2.656300577	19.87495042	12.25339048	8.636031402	2.26330489	4.719153694	79.45344865	2.18189489	1.630156598	1.998492512	2.535441032	1.598165559
CP Liptonbacteria	2.279564286	3.185864286	2.553971429	4.458214286	2.580657143	0.033028571	17.0154	0.008435714	0.00105	35.17232857	0.016528571	10.23382143	0.01035	4.649042857	3.787514286	5.400228571	0.217714286	32.95292143	8.851042857	0.020878571	0.025785714	0.020092857	0.006385714	0.016714286
CP Moranbacteria	9.271620952	11.07969619	2.167248571	2.337858095	2.850106667	0.002739048	0.051187619	0.0000657	0.00017619	0.023	0.000110476	0.008311429	0	1.794405714	2.45724	1.505814286	0.000738095	0.011124762	0.662182857	0.000290476	0.000502857	0.000474286	0.000213333	0.000330476
CP Nealsonbacteria	3.152504179	7.604243709	25.59260508	16.27560041	23.55890354	0.000591011	0.225556811	0.000650956	0.000239669	0.402017978	0.001222472	0.092633708	0.000465289	0.743752893	21.72038997	29.53780914	0.003666292	0.382224719	0.419639103	0.000253719	0.002278512	0.014153534	0.001201653	0.002730949
CP Pacearchaeota	43.31832163	33.78121044	37.85183234	40.79447436	46.36955401	1.027033093	40.9991105	0.634768811	0.357567932	137.3713087	1.555856009	87.85615528	0.879290968	22.81830298	43.61136449	54.92679937	1.840243639	105.0671857	24.67101793	0.613193995	1.657955981	0.496229273	0.759390623	1.815428075
CP Parvarchaeota	6.765683137	1.143890588	0.617848627	0.896292157	1.28342	0.00161451	0.137187059	0	0	0.169883137	0	0.004843137	0	2.75223098	1.118853725	1.210888627	0	0.012131765	9.109948627	0.000194118	0.009023137	0.001666275	0.0000925	0.000197647
CP Peribacteria	4.118094444	4.407902778	3.419816667	7.011708333	4.454316667	0.586555556	19.12627778	0.4279	0.146663889	34.75966389	0.629	34.01613333	0.331933333	4.943091667	2.973325	5.874680556	0.896597222	35.81115	20.08918611	0.259427778	0.500483333	0.153472222	0.381944444	0.718125
CP Perigrinibacteria	1.34936015	1.116081955	0.913733835	2.259266165	1.216606767	0.041948872	10.52387143	0.008006015	0.005083459	10.5549188	0.027615038	4.511717293	0.021579699	1.529515038	0.833966165	1.584018045	0.104585714	10.26724286	5.809211278	0.018951128	0.040769925	0.011181203	0.018548872	0.037104511
CP Poribacteria	17.52404958	10.79994359	16.22511458	15.56996208	20.08211298	1.201208106	2.606768947	1.510150114	0.905399886	6.600170016	1.323913279	2.42595001	2.570980265	6.793625158	23.11131347	17.38359978	0.627779492	2.92411441	27.43057676	1.154197474	1.620672728	1.0101622	1.086386606	1.037256862
CP Rokubacteria	17.39590796	17.02260454	10.77066466	33.09454197	17.63696275	0.562988728	102.7083896	0.453972095	0.334394678	66.21879197	0.542086159	44.33916924	0.341330336	16.57202384	13.35777557	15.17217836	1.246076056	87.90323218	47.82535641	0.27654908	0.209997741	0.307739151	0.396227366	0.233389699
CP Saccharibacteria	1.152971429	3.020142857	4.170142857	28.81425714	13.6849	1.299457143	0.825	2.0258	0.000757143	0.003157143	0.001442857	0.003942857	0.001171429	0.462128571	1.139271429	13.69404286	0.121171429	0.719628571	0.350657143	2.4055	0.439857143	1.196785714	0.894342857	2.235442857
CP Shapirobacteria	16.8065317	32.56082896	54.46616576	29.96301527	39.80304075	0.022240768	0.050895672	0.00059685	0.000348819	0.043989206	0.483102274	0.159277953	0.087697403	4.708525892	56.31867624	42.25819945	0.207963344	0.077916965	0.944517543	0.051397658	0.025171746	0.238904118	0.122612152	0.129309601
