MAG	KigC100	KigC1200	KigC150	KigC250	KigC300	KigCa35	KigCa65	KigCas0	KigOff0	KigOff120	KigOff40	KigOff80	KigOffSurface	MahC100	MahC200	MahC400	MahCa10	MahCa50	MahCa65	Mahsurface_10	Mahsurface_6	Mahsurface_7	Mahsurface_8	Mahsurface_9
K_DeepCast_300m_m2_211	0.01	0.04	0.02	0.04	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
K_Offshore_80m_m2_092	0.02	0.04	0.03	0.02	0.03	0.00	0.09	0.00	0.00	0.19	0.00	0.42	0.00	0.02	0.02	0.02	0.01	0.08	0.02	0.00	0.00	0.00	0.00	0.00
M_DeepCast_200m_m2_085	0.01	0.04	0.01	0.13	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.27	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
K_Offshore_80m_m2_176	0.03	0.04	0.04	0.03	0.04	0.02	0.13	0.02	0.02	0.15	0.02	0.27	0.01	0.03	0.03	0.03	0.02	0.11	0.05	0.01	0.01	0.01	0.01	0.01
K_DeepCast_100m_mx_141	0.10	0.04	0.08	0.02	0.05	0.00	0.02	0.00	0.00	0.02	0.00	0.00	0.00	0.04	0.07	0.02	0.00	0.00	0.22	0.00	0.00	0.00	0.00	0.00
M_DeepCast_65m_m2_009	0.06	0.04	0.04	0.04	0.04	0.03	0.07	0.03	0.03	0.05	0.03	0.05	0.03	0.04	0.04	0.04	0.02	0.03	0.47	0.02	0.01	0.02	0.01	0.01
M_DeepCast_65m_m1_226	0.18	0.04	0.08	0.02	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.05	0.02	0.00	0.00	0.28	0.00	0.00	0.00	0.00	0.00
M_DeepCast_400m_m2_153	0.00	0.04	0.01	0.04	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
K_DeepCast_150m_m2_294	0.03	0.04	0.05	0.04	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.06	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
M_DeepCast_400m_m2_133	0.00	0.04	0.01	0.04	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
K_Offshore_80m_m1_165	0.03	0.04	0.04	0.04	0.05	0.04	0.10	0.02	0.01	0.21	0.01	0.49	0.01	0.05	0.08	0.06	0.03	0.10	0.07	0.00	0.01	0.00	0.01	0.01
M_DeepCast_400m_m2_269	0.02	0.04	0.03	0.06	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
M_DeepCast_200m_m2_046	0.01	0.04	0.04	0.09	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.14	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
K_Offshore_80m_m2_186	0.01	0.04	0.02	0.02	0.03	0.01	0.09	0.01	0.00	0.14	0.00	0.17	0.00	0.02	0.02	0.03	0.01	0.09	0.07	0.00	0.00	0.00	0.00	0.00
K_Offshore_0m_m1_055	0.04	0.04	0.04	0.05	0.03	0.03	0.02	0.05	0.07	0.00	0.04	0.00	0.05	0.03	0.02	0.01	0.02	0.01	0.01	0.01	0.00	0.02	0.01	0.00
K_DeepCast_250m_m1_047	0.02	0.04	0.03	0.04	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
K_Offshore_120m_mx_094	0.03	0.04	0.04	0.04	0.03	0.06	0.06	0.04	0.02	0.10	0.03	0.02	0.04	0.08	0.05	0.05	0.09	0.14	0.07	0.06	0.09	0.07	0.06	0.08
M_surface_10_m2_141	0.02	0.04	0.03	0.03	0.03	0.04	0.02	0.05	0.04	0.00	0.04	0.00	0.03	0.04	0.03	0.04	0.06	0.02	0.02	0.06	0.03	0.04	0.05	0.04
K_DeepCast_65m_m1_133	0.01	0.04	0.03	0.02	0.02	0.00	0.17	0.00	0.00	0.27	0.00	0.16	0.00	0.02	0.04	0.03	0.00	0.17	0.07	0.00	0.00	0.00	0.00	0.00
K_Offshore_40m_mx_120	0.02	0.04	0.03	0.04	0.03	0.04	0.02	0.06	0.08	0.00	0.06	0.01	0.06	0.04	0.02	0.03	0.05	0.02	0.01	0.04	0.04	0.05	0.04	0.04
K_Offshore_40m_mx_227	0.04	0.04	0.04	0.04	0.03	0.06	0.08	0.04	0.03	0.10	0.06	0.09	0.04	0.05	0.05	0.04	0.05	0.07	0.04	0.06	0.16	0.06	0.06	0.06
K_DeepCast_35m_m1_047	0.04	0.04	0.04	0.06	0.03	0.07	0.03	0.08	0.03	0.00	0.04	0.01	0.04	0.05	0.03	0.05	0.07	0.02	0.02	0.06	0.08	0.07	0.09	0.07
M_DeepCast_65m_mx_133	0.16	0.04	0.07	0.02	0.05	0.00	0.01	0.00	0.00	0.02	0.00	0.01	0.00	0.05	0.05	0.03	0.00	0.01	0.40	0.00	0.00	0.01	0.00	0.00
K_DeepCast_65m_m2_035	0.05	0.04	0.05	0.02	0.04	0.00	0.16	0.00	0.00	0.13	0.00	0.12	0.00	0.03	0.05	0.02	0.00	0.06	0.10	0.00	0.00	0.00	0.00	0.00
M_DeepCast_200m_m2_194	0.02	0.03	0.06	0.06	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.12	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
M_DeepCast_50m_m2_054	0.02	0.03	0.02	0.01	0.03	0.00	0.12	0.00	0.00	0.11	0.00	0.05	0.00	0.02	0.02	0.02	0.00	0.12	0.10	0.00	0.00	0.00	0.00	0.00
K_DeepCast_65m_m2_251	0.01	0.03	0.02	0.02	0.02	0.01	0.14	0.00	0.00	0.20	0.00	0.15	0.00	0.03	0.05	0.04	0.02	0.11	0.05	0.00	0.00	0.00	0.01	0.01
M_DeepCast_400m_m2_252	0.02	0.03	0.03	0.04	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
K_Offshore_40m_m2_176	0.03	0.03	0.03	0.03	0.03	0.06	0.03	0.05	0.14	0.00	0.12	0.00	0.17	0.04	0.04	0.03	0.04	0.02	0.02	0.02	0.03	0.03	0.04	0.03
M_DeepCast_65m_m2_016	0.04	0.03	0.04	0.02	0.05	0.00	0.06	0.00	0.00	0.08	0.00	0.09	0.00	0.02	0.05	0.03	0.00	0.08	0.11	0.00	0.00	0.00	0.00	0.00
K_DeepCast_150m_m1_356	0.21	0.03	0.16	0.04	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.03	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
M_DeepCast_100m_m2_149	0.02	0.03	0.03	0.03	0.03	0.04	0.03	0.04	0.01	0.03	0.01	0.05	0.01	0.08	0.08	0.08	0.10	0.05	0.05	0.02	0.01	0.01	0.04	0.02
K_Offshore_surface_m2_092	0.03	0.03	0.03	0.03	0.03	0.06	0.02	0.07	0.10	0.00	0.09	0.00	0.09	0.04	0.03	0.03	0.05	0.02	0.01	0.04	0.03	0.05	0.04	0.04
K_DeepCast_65m_m2_213	0.04	0.03	0.04	0.02	0.03	0.00	0.15	0.00	0.00	0.12	0.00	0.09	0.00	0.01	0.04	0.02	0.00	0.09	0.08	0.00	0.00	0.00	0.00	0.00
K_Offshore_40m_m2_239	0.04	0.03	0.03	0.04	0.03	0.06	0.04	0.05	0.13	0.01	0.10	0.01	0.09	0.04	0.05	0.04	0.05	0.02	0.02	0.04	0.03	0.04	0.05	0.04
K_DeepCast_35m_m1_037	0.03	0.03	0.03	0.04	0.03	0.07	0.03	0.06	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00	0.01	0.01	0.00	0.01	0.02	0.01	0.01	0.02
K_DeepCast_250m_m2_119	0.01	0.03	0.03	0.07	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
M_DeepCast_400m_m1_102	0.00	0.03	0.01	0.07	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
K_DeepCast_65m_m2_066	0.01	0.03	0.01	0.01	0.03	0.00	0.08	0.00	0.00	0.06	0.00	0.06	0.00	0.01	0.02	0.01	0.00	0.08	0.02	0.00	0.00	0.00	0.00	0.00
M_DeepCast_400m_m1_356	0.00	0.03	0.01	0.03	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
K_DeepCast_100m_m1_307	0.34	0.03	0.10	0.06	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.12	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
M_DeepCast_50m_m2_187	0.01	0.03	0.02	0.02	0.02	0.00	0.14	0.00	0.00	0.28	0.00	0.08	0.00	0.03	0.03	0.04	0.00	0.23	0.07	0.00	0.00	0.00	0.00	0.00
M_DeepCast_50m_m2_137	0.02	0.03	0.03	0.02	0.02	0.00	0.13	0.00	0.00	0.12	0.00	0.09	0.00	0.03	0.05	0.03	0.00	0.15	0.10	0.00	0.00	0.00	0.00	0.00
K_Offshore_40m_m1_259	0.02	0.03	0.03	0.03	0.03	0.04	0.04	0.04	0.05	0.03	0.05	0.06	0.04	0.04	0.03	0.04	0.05	0.04	0.04	0.03	0.03	0.03	0.04	0.03
M_surface_7_m1_048	0.04	0.03	0.04	0.04	0.03	0.05	0.04	0.06	0.08	0.00	0.08	0.01	0.07	0.04	0.03	0.03	0.05	0.02	0.02	0.06	0.08	0.07	0.10	0.08
M_DeepCast_400m_m2_340	0.00	0.03	0.00	0.03	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
K_DeepCast_250m_mx_298	0.01	0.03	0.02	0.06	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
K_Offshore_80m_m2_162	0.02	0.03	0.02	0.02	0.03	0.00	0.09	0.00	0.00	0.12	0.00	0.18	0.00	0.02	0.02	0.02	0.01	0.09	0.07	0.00	0.00	0.00	0.00	0.00
M_surface_10_m2_213	0.03	0.03	0.03	0.04	0.03	0.04	0.05	0.03	0.05	0.05	0.04	0.06	0.04	0.09	0.10	0.09	0.10	0.06	0.05	0.12	0.04	0.13	0.16	0.06
