Taxa	KigCas0	KigCa35	KigOff0	KigOff40	KigOffSurface	MahCa10	Mahsurface_10	Mahsurface_6	Mahsurface_7	Mahsurface_8	Mahsurface_9	MahCa50	MahCa65	KigCa65	KigOff80	KigC100	KigC150	MahC100	KigC250	KigC300	KigC1200	KigOff120	MahC200	MahC400
CP WWE1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.48	0.03	6.09	6.34	3.59	0	6.17	6.57
CP WWE3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.04	0.01	2.34	2.07	1.74	0.01	2.07	2.6
CP Zixibacteria	0	0.01	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0.33	0.12	0.11	0.09	0.15	0.21	1.67	0.18	0.17
CP-1	1.63	2.05	2.25	3.58	1.79	0.76	0.62	0.16	0.95	0.8	0.21	0.16	0.95	0.8	0.21	0.7	1.65	1.95	1.67	1.14	1.68	0.43	0.86	1
CP-2	0	0	0	0	0	0	0.01	0.01	0.04	0	0	0.01	0.04	0	0	0.02	3.44	1.33	1.49	1.82	1.2	0.09	2.99	1.71
Cyanobacteria	1077.5	746.98	712.46	661.69	826.2	578.81	892.35	369.16	586.03	458.91	526.51	369.16	586.03	458.91	526.51	223.04	734.59	159.47	664.59	505.65	788.21	99.29	494.27	532.86
Deinococcus thermus	0.29	0.13	0	0.01	0.01	0.03	0.06	0.01	0.05	0.1	0.05	0.01	0.05	0.1	0.05	0.09	0.21	0.22	0.36	1.66	3.37	0.02	1.35	4.05
Deltaproteobacteria	9.27	9.5	5.56	6.12	5.49	5.53	3.47	1.8	3.31	3.52	2.52	1.8	3.31	3.52	2.52	16.74	109.19	20.04	127.71	158.62	131.08	50.02	145.99	149.64
Diapherotrites	0.04	0.04	0.02	0.04	0.03	0.03	0.03	0.06	0.03	0.02	0.02	0.06	0.03	0.02	0.02	1.16	0.78	1.58	0.36	0.5	0.56	1.22	0.78	0.64
Euryarchaeota	4.9	6.08	1.36	3.27	3.66	3.23	8.5	15.18	7.45	6.64	7.3	15.18	7.45	6.64	7.3	1.05	5.94	0.68	9.49	12.14	13.05	0.54	12.58	16.81
Fibrobacteres acidobacteria	3.32	3.26	2.78	3.42	3.7	4.46	1.84	1.24	1.73	2.83	2.15	1.24	1.73	2.83	2.15	5.3	7.77	3.27	12.56	12.33	14.29	13.74	16.09	21.28
Firmicutes	0.21	0.19	0.24	0.39	0.41	0.11	0.18	0.69	0.28	0.18	0.44	0.69	0.28	0.18	0.44	0.07	6.94	0.23	3.61	3.91	3.4	0.13	6.98	3.74
Gammaproteobacteria	131.85	112.59	74.44	106.13	89.9	89.18	132.19	98.51	112.74	153.67	145.92	98.51	112.74	153.67	145.92	87.92	119.11	75.5	128.23	90.7	120.59	138.92	91.31	144.04
Gemmatimonadetes	10.14	8.48	10.89	14.27	11.91	6.86	10.38	9.36	9.7	13.48	12.71	9.36	9.7	13.48	12.71	5.64	12.96	8.63	13.88	10.64	12.12	9.1	10.75	13.7
Ignavibacteria	96.05	119.03	46.05	76.16	97.49	49.26	73.86	81.09	68.98	63.55	80.23	81.09	68.98	63.55	80.23	19.65	104.41	25.59	106.93	78.43	80.62	10.13	109.9	96.78
Kirimatiellacea	0	0	0	0	0	0	0	0.02	0.01	0.01	0	0.02	0.01	0.01	0	0	0.7	0.01	0.21	0.29	0.24	0.01	0.5	0.23
Lentisphaerae	0.03	0.03	0.02	0.02	0.02	0.02	0.02	0.02	0.05	0.03	0.01	0.02	0.05	0.03	0.01	0.05	9.17	0.16	18.57	13.26	7.85	0.14	22.37	16.44
Micrarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.05	3.05	2.41	1.45	0	4.05	2.2
Nitrospirae	1.3	1.52	0.74	1.37	1.14	4.49	1	0.82	0.52	1.93	1.25	0.82	0.52	1.93	1.25	56.98	24.49	46.08	28.68	44.75	44.07	147.15	34.8	50.61
Pacearchaeota	0.05	0.08	0.03	0.13	0.08	0.15	0.05	0.13	0.04	0.06	0.15	0.13	0.04	0.06	0.15	8.64	5.34	2.03	5.99	7.32	6.44	21.68	6.89	8.67
Parvarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.47	1.4	0.27	0.59	0.38	0.17	0.36	0.38
Phycisphaerae	75.6	64.97	61.8	79.64	64.18	41.66	43.03	18.45	37.36	52.49	30.96	18.45	37.36	52.49	30.96	62.31	77.61	64.09	87.86	68.96	94.46	166.35	66.52	84.29
Planctomycetes	63.03	63.32	34.03	41.57	44.04	38.37	54.54	42.96	40.36	44.79	38.68	42.96	40.36	44.79	38.68	37.28	77.51	42.74	75.5	65.76	82.09	54.78	100.38	97.28
Poribacteria	0.23	0.2	0.13	0.22	0.32	0.1	0.19	0.24	0.16	0.17	0.17	0.24	0.16	0.17	0.17	0.32	4.05	2.32	7.76	9.94	9.13	1.28	10.24	9.53
Thaumarchaeota	13.69	29.29	5.19	22.14	19.97	22	10.57	12.62	34.05	17.47	23.16	12.62	34.05	17.47	23.16	251.17	95.34	136.59	60.46	88.76	115.1	632.1	90.53	118.65
Unclassified	1.07	1.09	0.49	0.76	0.57	0.69	0.79	0.57	0.66	0.97	1.04	0.57	0.66	0.97	1.04	0.39	0.87	0.28	1.03	0.61	0.89	0.48	0.7	0.99
Verrucomicrobia V1	0.14	0.16	0.02	0.03	0.02	0.85	1.17	0.39	1.08	0.95	1.06	0.39	1.08	0.95	1.06	0.34	0.12	0.31	0.18	0.1	0.13	0.03	0.83	1.42
Verrucomicrobia V2	1.27	0.84	0.31	0.39	0.44	0.32	0.28	0.56	0.27	0.32	0.5	0.56	0.27	0.32	0.5	0.14	0.69	0.11	0.73	0.68	0.89	0.03	0.34	0.37
Verrucomicrobia V3	21.82	24.71	15.94	18.81	18.9	15.95	15.53	7.19	10.91	17.13	12.27	7.19	10.91	17.13	12.27	31.4	29.66	18.34	30.62	25.73	33.76	76.55	44.71	45.84
Verrucomicrobia V4	16.32	13.69	15.84	16.33	13.4	7.88	12.24	6.75	9.4	13.66	11.01	6.75	9.4	13.66	11.01	3.85	13.12	3.36	16.21	10.27	14.14	2.87	14.81	19.06
Verrucomicrobia V6	47.8	43.3	62.25	86.22	57.25	30.86	44.48	22.53	45.43	41.93	28.91	22.53	45.43	41.93	28.91	11.67	30.69	7.39	33.76	26.01	34.24	6.81	23.61	36.4
Verstraetaerchaeota	0.03	0.16	0.01	1.16	0.3	0.57	0.15	0.18	0.6	0.43	0.38	0.18	0.6	0.43	0.38	0.16	0.59	0.23	2.36	3.05	3.41	0.13	2.67	5.46
Woesearchaeota	0.21	0.2	0.08	0.16	0.12	0.09	0.11	0.2	0.1	0.11	0.09	0.2	0.1	0.11	0.09	0.24	1.02	1.85	2.73	4.53	2.86	0.47	2.24	5.23
WOR-2 Omnitrophica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.78	0.29	13.21	13.77	8.01	0.01	16.63	16.81
WOR-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.13	0.1	7.89	8.54	5.87	0.01	10.27	10.76
