Order,Domain,Phylum,Class,Order,Family,Genus,Species,Baikal,Tanganyika,Category
16,d__Archaea,p__Nanoarchaeota,c__Woesearchaeia,o__SCGC-AAA011-G17,f__GW2011-AR17,g__,s__,1,,Only Baikal
17,d__Archaea,p__Thermoplasmatota,c__,o__,f__,g__,s__,,1,Only Tanganyika
18,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata_A,o__Methanomassiliicoccales,f__,g__,s__,,1,Only Tanganyika
19,d__Bacteria,,c__,o__,f__,g__,s__,,12,Only Tanganyika
20,d__Bacteria,p__Acidobacteriota,c__,o__,f__,g__,s__,,1,Only Tanganyika
21,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__,f__,g__,s__,2,1,Both
22,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Solibacterales,f__Solibacteraceae,g__,s__,3,10,Both
23,d__Bacteria,p__Acidobacteriota,c__Aminicenantia,o__Aminicenantales,f__,g__,s__,,2,Only Tanganyika
24,d__Bacteria,p__Acidobacteriota,c__Aminicenantia,o__Aminicenantales,f__UBA4085,g__,s__,,3,Only Tanganyika
25,d__Bacteria,p__Acidobacteriota,c__Luteitaleia,o__Luteitaleales,f__,g__,s__,1,1,Both
26,d__Bacteria,p__Acidobacteriota,c__Luteitaleia,o__Luteitaleales,f__UBA2999,g__,s__,3,4,Both
27,d__Bacteria,p__Acidobacteriota,c__Luteitaleia,o__Luteitaleales,f__UBA2999,g__12-FULL-67-14b,s__,3,1,Both
28,d__Bacteria,p__Acidobacteriota,c__Luteitaleia,o__Luteitaleales,f__UBA2999,g__2-12-FULL-68-19,s__,1,,Only Baikal
29,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__,f__,g__,s__,3,4,Both
30,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Microtrichales,f__,g__,s__,1,1,Both
31,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Microtrichales,f__Ilumatobacteraceae,g__,s__,3,7,Both
32,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Microtrichales,f__Ilumatobacteraceae,g__Casp-actino8,s__,1,2,Both
33,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Microtrichales,f__Microtrichaceae,g__,s__,,1,Only Tanganyika
34,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__UBA5794,f__UBA11373,g__,s__,,1,Only Tanganyika
35,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Actinomycetales,f__Microbacteriaceae,g__Microbacterium,s__,,1,Only Tanganyika
36,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Nanopelagicales,f__,g__,s__,,5,Only Tanganyika
37,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Nanopelagicales,f__Nanopelagicaceae,g__,s__,1,6,Both
38,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Nanopelagicales,f__Nanopelagicaceae,g__MAG-120802,s__,1,1,Both
39,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Nanopelagicales,f__Nanopelagicaceae,g__Nanopelagicus,s__,1,2,Both
40,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Nanopelagicales,f__Nanopelagicaceae,g__Planktophila,s__,5,,Only Baikal
41,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Nanopelagicales,f__S36-B12,g__,s__,1,1,Both
42,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__,f__,g__,s__,4,4,Both
43,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__,g__,s__,1,1,Both
44,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__UBA2241,f__UBA2241,g__,s__,,1,Only Tanganyika
45,d__Bacteria,p__Actinobacteriota,c__UBA1414,o__UBA1414,f__,g__,s__,,5,Only Tanganyika
46,d__Bacteria,p__Actinobacteriota,c__UBA1414,o__UBA1414,f__UBA7938,g__,s__,,1,Only Tanganyika
47,d__Bacteria,p__Armatimonadota,c__,o__,f__,g__,s__,,2,Only Tanganyika
48,d__Bacteria,p__Armatimonadota,c__UBA5377,o__,f__,g__,s__,,2,Only Tanganyika
49,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__,f__,g__,s__,,8,Only Tanganyika
50,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__AKYH767,f__,g__,s__,1,,Only Baikal
51,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__,g__,s__,,2,Only Tanganyika
52,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__vadinHA17,g__,s__,,1,Only Tanganyika
53,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__,s__,,4,Only Tanganyika
54,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__JJ008,s__,,7,Only Tanganyika
