Order,Domain,Phylum,Class,Order,Family,Genus,Species,Baikal,Tanganyika,Category
215,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__,g__,s__,1,1,Both
216,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__,s__,,6,Only Tanganyika
217,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__Limnohabitans,s__,3,,Only Baikal
218,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__Polynucleobacter,s__,,1,Only Tanganyika
219,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__Rhodoferax,s__,1,,Only Baikal
220,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__UBA2463,s__,,2,Only Tanganyika
221,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__UBA3064,s__,,2,Only Tanganyika
222,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Hydrogenophilaceae,g__,s__,,1,Only Tanganyika
223,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Hydrogenophilaceae,g__UBA3361,s__,,1,Only Tanganyika
224,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Methylophilaceae,g__,s__,1,,Only Baikal
225,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Methylophilaceae,g__Methylopumilus,s__,,1,Only Tanganyika
226,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Methylophilaceae,g__Methylotenera,s__,2,1,Both
227,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Nitrosomonadaceae,g__,s__,2,,Only Baikal
228,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Rhodocyclaceae,g__UTPRO2,s__,,1,Only Tanganyika
229,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__SG8-39,g__,s__,8,4,Both
230,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__SG8-41,g__,s__,,3,Only Tanganyika
231,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Ga0077536,f__Ga0077536,g__,s__,2,1,Both
232,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__,s__,,1,Only Tanganyika
233,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylomonadaceae,g__,s__,1,,Only Baikal
234,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylomonadaceae,g__Methyloglobulus,s__,1,1,Both
235,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylomonadaceae,g__UBA4132,s__,1,,Only Baikal
236,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__HTCC2089,g__,s__,,1,Only Tanganyika
237,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudohongiellaceae,g__,s__,1,,Only Baikal
238,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae,g__,s__,2,9,Both
239,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__UBA11654,f__UBA11654,g__,s__,1,2,Both
240,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__UBA7916,f__,g__,s__,,1,Only Tanganyika
241,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__,g__,s__,1,,Only Baikal
242,d__Bacteria,p__UBP1,c__PRR-12,o__,f__,g__,s__,,2,Only Tanganyika
243,d__Bacteria,p__UBP10,c__GR-WP33-30,o__,f__,g__,s__,2,5,Both
244,d__Bacteria,p__Verrucomicrobiota,c__,o__,f__,g__,s__,,1,Only Tanganyika
245,d__Bacteria,p__Verrucomicrobiota,c__Chlamydiia,o__,f__,g__,s__,,5,Only Tanganyika
246,d__Bacteria,p__Verrucomicrobiota,c__Chlamydiia,o__Parachlamydiales,f__Ga0074140,g__,s__,,1,Only Tanganyika
247,d__Bacteria,p__Verrucomicrobiota,c__Chlamydiia,o__Parachlamydiales,f__Simkaniaceae,g__,s__,,1,Only Tanganyika
248,d__Bacteria,p__Verrucomicrobiota,c__Chlamydiia,o__Parachlamydiales,f__SM23-39,g__,s__,,1,Only Tanganyika
249,d__Bacteria,p__Verrucomicrobiota,c__Kiritimatiellae,o__,f__,g__,s__,,1,Only Tanganyika
250,d__Bacteria,p__Verrucomicrobiota,c__Kiritimatiellae,o__Kiritimatiellales,f__,g__,s__,,1,Only Tanganyika
251,d__Bacteria,p__Verrucomicrobiota,c__Kiritimatiellae,o__RFP12,f__,g__,s__,,1,Only Tanganyika
252,d__Bacteria,p__Verrucomicrobiota,c__Kiritimatiellae,o__UBA8416,f__,g__,s__,,2,Only Tanganyika
253,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__,f__,g__,s__,1,1,Both
254,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Chthoniobacterales,f__,g__,s__,,1,Only Tanganyika
255,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Methylacidiphilales,f__UBA3015,g__UBA3015,s__,,1,Only Tanganyika
256,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Opitutales,f__Opitutaceae,g__,s__,3,1,Both
257,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Opitutales,f__Opitutaceae,g__Lacunisphaera,s__,2,,Only Baikal
258,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Opitutales,f__Opitutaceae,g__Opitutus,s__,4,2,Both
259,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Opitutales,f__UBA953,g__,s__,,1,Only Tanganyika
260,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Opitutales,f__UBA953,g__UBA953,s__,2,,Only Baikal
261,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__,g__,s__,9,3,Both
262,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__UBA11358,s__,1,,Only Baikal
263,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__UBA9464,g__,s__,4,6,Both
264,d__Bacteria,p__WOR-3,c__WOR-3,o__UBA2258,f__UBA2258,g__,s__,,4,Only Tanganyika
