MAG	Taxonomy	Domain	KigCas0	KigCa35	KigOff0	KigOff40	KigOffSurface	MahCa10	Mahsurface_10	Mahsurface_6	Mahsurface_7	Mahsurface_8	Mahsurface_9	MahCa50	MahCa65	KigCa65	KigOff80	KigC100	MahC100	KigC150	KigC250	KigC300	KigC1200	KigOff120	MahC200	MahC400	Epi	Oxy	Hypo	Completeness	Nb of Scaffolds
M_surface_9_m1_282	Bacteroidetes	Bacteria	3.74	3.67	1.14	2.4	2.06	1.09	1.76	2.86	2.2	1.78	3.82	2.86	2.2	1.78	3.82	0.48	0.39	2.65	3.08	1.94	2.04	0.09	1.12	1.54	26.53	11.53	12.44	93.6	10
K_DeepCast_0m_m2_211	Bacteroidetes	Bacteria	3.02	2.61	1.35	2.74	2.49	1.02	1.86	2.53	2.1	2.4	4.32	2.53	2.1	2.4	4.32	0.62	0.38	1.89	2.31	1.32	1.71	0.23	0.91	1.26	26.44	12.34	9.64	81.03	674
M_surface_7_m2_191	Bacteroidetes	Bacteria	2.97	2.45	1.57	2.59	2.12	1.12	2.42	1.42	2.13	2.46	2.07	1.42	2.13	2.46	2.07	0.47	0.39	2.03	2.22	1.46	1.87	0.06	0.89	1.27	23.33	8.94	9.8	90.64	11
K_DeepCast_100m_m1_299	Bacteroidetes	Bacteria	2.26	2.1	1.19	2.21	1.77	1.42	2.29	2.12	2.17	2.43	2.53	2.12	2.17	2.43	2.53	0.67	0.44	1.38	1.66	1.09	1.37	0.59	1.1	1.98	22.5	10.36	9.17	25.33	768
K_DeepCast_35m_m2_004	Bacteroidetes	Bacteria	2.07	2.54	0.17	0.4	0.31	1.92	2.69	1.69	3.31	3.02	4.13	1.69	3.31	3.02	4.13	0.95	0.61	1.8	2.23	1.11	1.48	0.1	1.52	2.4	22.25	13.7	10.64	79.48	267
K_DeepCast_0m_mx_011	Bacteroidetes	Bacteria	2.37	1.95	1.38	2.97	2.67	0.66	1.14	2.02	1.43	2.17	3.25	2.02	1.43	2.17	3.25	0.4	0.2	1.47	2.01	1.1	1.37	0.12	0.62	0.88	22.02	9.47	7.58	12.43	20
M_surface_9_m1_271	Bacteroidetes	Bacteria	2.66	2.24	0.91	1.45	1.73	0.84	2.12	2.41	2.15	2.14	3.21	2.41	2.15	2.14	3.21	0.56	0.35	1.86	2.58	1.22	1.45	0.39	0.84	1.2	21.86	10.82	9.54	96.27	91
K_Offshore_0m_mx_172	Bacteroidetes	Bacteria	1.49	1.74	0.42	0.79	0.62	1.78	2.52	1.59	2.72	2.25	3.8	1.59	2.72	2.25	3.8	1.04	0.65	1.34	1.62	0.91	1.21	0.19	1.59	2.47	19.71	12.05	9.32	48.47	598
M_surface_9_m1_241	Bacteroidetes	Bacteria	2.84	2.07	1.21	1.63	1.33	1.62	2.06	0.91	1.69	2.02	1.79	0.91	1.69	2.02	1.79	0.7	0.57	1.78	1.96	1.07	1.95	0.04	1.14	1.71	19.2	7.69	9.66	84.73	33
K_Offshore_0m_mx_046	Bacteroidetes	Bacteria	2.3	2.31	0.29	0.58	0.46	1.5	2.09	1.63	2.29	2.14	3.35	1.63	2.29	2.14	3.35	0.77	0.5	1.76	2.12	1.23	1.66	0.07	1.2	1.87	18.95	10.67	9.92	61.06	508
M_DeepCast_10m_mx_163	Bacteroidetes	Bacteria	2.05	1.75	1.01	1.51	1.27	1.32	1.87	1.32	1.78	1.98	2.35	1.32	1.78	1.98	2.35	0.68	0.46	1.45	1.66	1.03	1.39	0.47	0.92	1.6	18.23	8.57	8.52	48.86	246
M_DeepCast_10m_mx_049	Bacteroidetes	Bacteria	1.78	1.73	0.55	1.1	0.99	1.03	1.8	2.6	1.83	1.7	2.41	2.6	1.83	1.7	2.41	0.75	0.46	1.19	1.24	0.87	1.1	0.79	1.04	1.24	17.5	9.75	7.47	11.77	136
K_Offshore_40m_m2_287	Bacteroidetes	Bacteria	1.88	1.76	1.11	1.66	1.24	0.92	1.58	1.33	1.33	1.98	1.5	1.33	1.33	1.98	1.5	0.41	0.3	1.48	1.74	0.96	1.33	0.04	0.77	1.14	16.29	6.85	7.47	99.73	12
M_DeepCast_10m_m1_232	Bacteroidetes	Bacteria	1.36	1.33	0.61	1.31	1.07	0.89	1.41	2.49	1.4	1.45	1.78	2.49	1.4	1.45	1.78	1.35	0.78	1.22	1.13	1.02	1.29	3.25	1.22	1.59	15.09	9.25	10.72	81.36	911
M_surface_10_m1_166	Bacteroidetes	Bacteria	1.52	1.51	0.48	1	0.93	0.71	1.45	1.96	1.43	1.47	1.97	1.96	1.43	1.47	1.97	0.57	0.41	1.02	1.08	0.68	0.88	0.39	0.77	0.93	14.44	7.8	5.76	23.68	270
K_Offshore_0m_m2_159	Bacteroidetes	Bacteria	1.47	1.35	0.73	1.56	1.37	0.5	1.14	1.63	1.28	1.39	1.97	1.63	1.28	1.39	1.97	0.25	0.15	0.86	1.06	0.59	0.75	0.09	0.52	0.66	14.4	6.68	4.54	92.16	602
K_Offshore_40m_mx_286	Bacteroidetes	Bacteria	1.09	1.27	0.22	0.58	0.43	1.19	1.72	1.33	1.88	1.61	2.57	1.33	1.88	1.61	2.57	0.69	0.44	0.95	1.15	0.61	0.81	0.14	1.01	1.58	13.89	8.52	6.24	65.94	453
K_DeepCast_100m_m2_024	Bacteroidetes	Bacteria	1.54	1.32	0.72	1.47	1.32	0.53	0.91	1.37	1.07	1.23	2.32	1.37	1.07	1.23	2.32	0.31	0.17	1.04	1.26	0.7	0.91	0.1	0.47	0.66	13.79	6.48	5.14	90.52	596
M_surface_6_mx_051	Bacteroidetes	Bacteria	1.36	1.47	0.51	1.19	1.06	0.66	1.19	1.18	1.53	1.39	1.83	1.18	1.53	1.39	1.83	0.59	0.43	1.01	1.02	0.72	0.89	0.97	0.8	0.97	13.37	6.94	6.37	54.05	866
M_DeepCast_50m_m1_018	Bacteroidetes	Bacteria	1.53	1.55	0.43	0.9	0.85	0.9	1.26	1.27	1.25	1.26	1.85	1.27	1.25	1.26	1.85	22.71	16.9	8.17	6	8.41	10.32	31.94	6.7	7.56	13.04	45.25	79.1	95.07	20
K_Offshore_40m_m2_149	Bacteroidetes	Bacteria	1.46	1.49	0.14	0.44	0.32	1.03	1.51	0.98	1.66	1.53	2.43	0.98	1.66	1.53	2.43	0.57	0.36	1.13	1.33	0.72	0.97	0.07	0.78	1.26	13.01	7.54	6.27	87.7	318
M_DeepCast_10m_m1_138	Bacteroidetes	Bacteria	0	0	0	0	1.92	5.29	3.9	0	0.01	0	1.07	0	0.01	0	1.07	5.86	0	0.16	0	0	0	9.11	0	0.19	12.2	6.94	9.47	12.3	36
M_DeepCast_100m_mx_304	Bacteroidetes	Bacteria	1.2	1.24	0.48	0.84	0.58	0.87	1.2	0.78	1.36	1.3	1.64	0.78	1.36	1.3	1.64	0.55	0.31	0.96	1.08	0.65	0.9	0.38	0.74	1.09	11.5	5.94	5.79	59.72	587
K_DeepCast_35m_m2_130	Bacteroidetes	Bacteria	2.12	1.77	0.7	1.25	1.25	0.63	0.58	0.34	0.58	0.6	0.72	0.34	0.58	0.6	0.72	0.28	0.21	1.62	1.97	1.04	1.26	0.02	0.76	0.93	10.54	2.73	7.6	96.67	62
M_surface_9_m1_296	Bacteroidetes	Bacteria	0.84	0.78	0.7	1.16	1.03	0.4	0.83	1.21	0.89	0.89	1.63	1.21	0.89	0.89	1.63	0.16	0.14	0.59	0.6	0.35	0.41	0.02	0.35	0.43	10.36	4.92	2.73	92.62	35
K_Offshore_40m_m1_004	Bacteroidetes	Bacteria	0.46	0.43	1.08	1.98	1.87	0.21	0.5	0.73	0.56	0.56	0.92	0.73	0.56	0.56	0.92	0.09	0.07	0.31	0.39	0.23	0.26	0.03	0.21	0.3	9.3	2.92	1.72	94.83	51
K_Offshore_120m_mx_094	Bacteroidetes	Bacteria	0.74	0.84	0.23	0.52	0.57	1	1.05	0.92	0.93	0.94	1.21	0.92	0.93	0.94	1.21	1.73	0.76	0.77	0.8	0.52	0.79	1.96	0.82	1.13	8.94	6.49	6.79	68.92	775
K_DeepCast_35m_m2_065	Bacteroidetes	Bacteria	1.14	1.2	0.27	0.72	0.67	0.8	0.75	0.63	0.57	1.05	1.13	0.63	0.57	1.05	1.13	5.62	2.51	2.73	2.57	2.04	2.21	8.65	2.22	2.8	8.93	11.52	23.22	93.1	163
M_DeepCast_100m_m1_345	Bacteroidetes	Bacteria	1.02	1.05	0.05	0.13	0.1	0.73	0.99	0.7	1.2	1.18	1.66	0.7	1.2	1.18	1.66	0.37	0.24	0.78	0.91	0.48	0.66	0.03	0.52	0.83	8.79	5.35	4.22	61.32	323
M_DeepCast_100m_m2_350	Bacteroidetes	Bacteria	0.96	0.88	0.35	0.71	0.64	0.4	0.74	0.79	0.83	0.83	1.49	0.79	0.83	0.83	1.49	0.27	0.15	0.63	0.74	0.4	0.55	0.11	0.35	0.49	8.61	4.36	3.27	95.68	605
K_Offshore_surface_mx_261	Bacteroidetes	Bacteria	0.79	0.92	0.16	0.39	0.36	0.65	0.94	0.82	1.19	0.96	1.42	0.82	1.19	0.96	1.42	0.46	0.26	0.68	0.77	0.43	0.58	0.16	0.58	0.84	8.61	5.11	4.03	72.56	533
M_DeepCast_100m_mx_212	Bacteroidetes	Bacteria	0.83	0.74	0.39	0.77	0.69	0.61	0.85	0.75	0.74	0.84	0.87	0.75	0.74	0.84	0.87	0.43	0.18	0.55	0.59	0.4	0.53	0.62	0.44	0.63	8.07	3.81	3.76	33.55	1457
K_Offshore_surface_m2_247	Bacteroidetes	Bacteria	0.96	0.64	0.62	0.79	0.81	0.4	0.56	0.47	0.54	0.71	0.7	0.47	0.54	0.71	0.7	0.18	0.14	0.54	0.49	0.35	0.47	0.02	0.32	0.37	7.2	2.75	2.55	95.99	320
K_DeepCast_250m_m2_333	Bacteroidetes	Bacteria	0.75	0.65	0.32	0.67	0.6	0.26	0.48	0.64	0.54	0.62	1.08	0.64	0.54	0.62	1.08	0.17	0.1	0.47	0.64	0.31	0.41	0.07	0.23	0.31	6.61	3.14	2.43	77.59	601
M_surface_8_mx_204	Bacteroidetes	Bacteria	0.59	0.6	0.21	0.33	0.35	0.37	0.61	0.59	0.8	0.67	0.92	0.59	0.8	0.67	0.92	0.22	0.14	0.45	0.51	0.3	0.37	0.05	0.31	0.45	6.05	3.34	2.43	52.63	462
M_DeepCast_50m_m1_274	Bacteroidetes	Bacteria	0.65	0.59	0.25	0.51	0.42	0.31	0.54	0.61	0.55	0.58	0.81	0.61	0.55	0.58	0.81	1.13	0.43	0.64	0.65	0.49	0.66	1.03	0.45	0.63	5.82	4.1	4.54	70.16	604
K_Offshore_40m_m2_146	Bacteroidetes	Bacteria	0.61	0.51	0.29	0.65	0.55	0.2	0.4	0.54	0.44	0.52	0.85	0.54	0.44	0.52	0.85	0.13	0.07	0.37	0.47	0.24	0.32	0.06	0.17	0.24	5.55	2.54	1.86	77.57	407
M_surface_8_m1_077	Bacteroidetes	Bacteria	0.61	0.56	0.21	0.43	0.39	0.26	0.52	0.63	0.54	0.6	0.77	0.63	0.54	0.6	0.77	0.2	0.15	0.39	0.42	0.26	0.33	0.17	0.25	0.31	5.54	2.9	2.13	87.57	534
M_surface_9_m1_279	Bacteroidetes	Bacteria	0.33	0.33	0.15	0.25	0.27	0.23	0.89	0.7	0.61	0.55	1.2	0.7	0.61	0.55	1.2	0.13	0.09	0.24	0.31	0.14	0.16	0.06	0.26	0.32	5.53	3.28	1.49	98.09	79
M_surface_8_mx_127	Bacteroidetes	Bacteria	0.52	0.57	0.31	0.6	0.58	0.33	0.46	0.37	0.46	0.64	0.46	0.37	0.46	0.64	0.46	0.27	0.14	0.37	0.41	0.29	0.38	0.52	0.35	0.45	5.31	2.34	2.76	41.28	2230
M_DeepCast_65m_mx_068	Bacteroidetes	Bacteria	0.61	0.55	0.32	0.49	0.42	0.32	0.51	0.43	0.47	0.5	0.63	0.43	0.47	0.5	0.63	0.57	12.97	4.3	4.31	4.66	3.91	1.68	4.92	4.84	5.26	15.56	28.62	94.01	107
K_Offshore_surface_m2_088	Bacteroidetes	Bacteria	0.67	0.64	0.05	0.14	0.14	0.39	0.58	0.39	0.64	0.64	0.95	0.39	0.64	0.64	0.95	0.22	0.14	0.49	0.56	0.3	0.41	0.02	0.28	0.45	5.23	2.98	2.5	80.35	243
M_surface_9_mx_130	Bacteroidetes	Bacteria	0.62	0.5	0.27	0.37	0.35	0.26	0.49	0.5	0.46	0.49	0.69	0.5	0.46	0.49	0.69	0.2	0.12	0.44	0.49	0.29	0.4	0.33	0.26	0.33	5	2.45	2.55	78.06	524
M_surface_10_m1_080	Bacteroidetes	Bacteria	0.49	0.51	0.04	0.1	0.08	0.41	0.57	0.36	0.65	0.62	0.91	0.36	0.65	0.62	0.91	0.23	0.14	0.38	0.44	0.22	0.28	0.03	0.28	0.47	4.73	2.9	2.1	22.98	77
K_DeepCast_0m_m2_115	Bacteroidetes	Bacteria	1.19	0.45	0.13	0.2	0.21	0.29	0.38	0.28	0.46	0.45	0.53	0.28	0.46	0.45	0.53	0.13	0.06	0.57	0.76	0.38	0.58	0.01	0.24	0.29	4.58	1.91	2.83	78.05	540
M_DeepCast_50m_m2_146	Bacteroidetes	Bacteria	0.41	0.55	0.16	0.39	0.29	0.39	0.26	0.14	0.23	0.39	0.38	0.14	0.23	0.39	0.38	4	1	1.78	1.44	1.26	1.68	1.53	1.13	1.64	3.59	6.14	10.45	92.44	205
M_surface_7_m1_092	Bacteroidetes	Bacteria	0.28	0.33	0.14	0.28	0.27	0.17	0.32	0.5	0.29	0.35	0.46	0.5	0.29	0.35	0.46	0.21	0.08	0.24	0.26	0.18	0.26	0.76	0.37	0.32	3.38	1.89	2.4	31.08	119
M_DeepCast_50m_m1_285	Bacteroidetes	Bacteria	0.06	0.07	0.01	0.01	0.01	0.43	0.58	0.04	0.52	0.52	0.39	0.04	0.52	0.52	0.39	2.17	0.52	0.34	0.3	0.24	0.47	1.89	0.71	1.01	2.62	4.15	4.98	84.13	338
M_surface_9_m1_277	Bacteroidetes	Bacteria	0.03	0.02	0.08	0.25	0.19	0.06	0.52	0.21	0.42	0.07	0.74	0.21	0.42	0.07	0.74	0.09	0.04	0.04	0.04	0.03	0.04	0.04	0.06	0.1	2.59	1.57	0.34	96.15	216
M_surface_9_mx_152	Bacteroidetes	Bacteria	0.14	0.15	0.04	0.08	0.09	0.09	0.33	0.5	0.19	0.15	0.81	0.5	0.19	0.15	0.81	0.03	0.02	0.08	0.09	0.08	0.11	0.02	0.14	0.14	2.58	1.69	0.66	88.68	680
M_surface_8_m2_110	Bacteroidetes	Bacteria	0.24	0.27	0.01	0.03	0.02	0.21	0.31	0.18	0.41	0.42	0.48	0.18	0.41	0.42	0.48	0.11	0.07	0.18	0.23	0.1	0.13	0.02	0.14	0.23	2.58	1.66	1.02	78.51	199
M_surface_10_m2_091	Bacteroidetes	Bacteria	0.05	0.07	0.01	0.01	0.01	0.37	0.6	0.04	0.5	0.52	0.36	0.04	0.5	0.52	0.36	0.63	0.2	0.11	0.12	0.08	0.14	0.48	0.41	0.59	2.55	2.27	1.93	45.05	191
M_surface_9_m2_064	Bacteroidetes	Bacteria	0.17	0.14	0.03	0.06	0.05	0.16	0.37	0.24	0.39	0.18	0.77	0.24	0.39	0.18	0.77	0.07	0.05	0.09	0.12	0.07	0.09	0.02	0.14	0.19	2.54	1.68	0.71	92.06	368
M_surface_10_mx_103	Bacteroidetes	Bacteria	0.04	0.05	0.03	0.05	0.09	0.08	1.11	0.04	0.26	0.03	0.19	0.04	0.26	0.03	0.19	0.03	0.01	0.03	0.03	0.02	0.03	0.06	0.04	0.04	1.96	0.56	0.24	66.63	1258
M_surface_7_m1_073	Bacteroidetes	Bacteria	0.18	0.17	0.05	0.22	0.12	0.11	0.13	0.25	0.17	0.19	0.22	0.25	0.17	0.19	0.22	0.05	0.04	0.12	0.14	0.07	0.1	0.23	0.16	0.12	1.83	0.93	0.93	24.86	129
M_surface_9_m2_059	Bacteroidetes	Bacteria	0.19	0.16	0.08	0.16	0.15	0.06	0.12	0.18	0.13	0.14	0.38	0.18	0.13	0.14	0.38	0.04	0.02	0.11	0.14	0.07	0.09	0.02	0.05	0.07	1.76	0.9	0.54	92.16	267
M_surface_10_m2_196	Bacteroidetes	Bacteria	0.07	0.05	0.09	0.06	0.09	0.04	0.8	0.07	0.18	0.08	0.1	0.07	0.18	0.08	0.1	0.02	0.01	0.05	0.05	0.03	0.04	0	0.03	0.04	1.65	0.47	0.24	65.73	486
M_DeepCast_50m_m2_245	Bacteroidetes	Bacteria	0.02	0.03	0	0.01	0.01	0.12	0.08	0.02	0.08	0.07	0.07	0.02	0.08	0.07	0.07	5.99	2.97	1.32	1.1	0.94	1.64	3.68	1.29	1.74	0.5	9.19	11.72	94.37	53
K_Offshore_80m_m1_206	Bacteroidetes	Bacteria	0.01	0.03	0.01	0.03	0.02	0.07	0.02	0.03	0.03	0.02	0.02	0.03	0.03	0.02	0.02	8.35	16.37	4.76	3.01	4.06	5.31	17.33	3.11	3.74	0.28	24.82	41.33	97.54	64
K_DeepCast_250m_mx_282	Bacteroidetes	Bacteria	0	0	0	0.03	0.01	0.02	0	0	0.01	0.01	0.01	0	0.01	0.01	0.01	0	0.02	0.68	1.24	1.03	0.72	0	1.19	1.07	0.09	0.05	5.93	36.25	1791
K_DeepCast_150m_m2_049	Bacteroidetes	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	2.81	1.6	1.12	0.59	0	3.34	0.99	0.02	0.07	10.46	96.77	224
K_DeepCast_150m_m2_259	Bacteroidetes	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	1.45	0.43	0.33	0.24	0	1.17	0.36	0.01	0.03	3.99	80.21	505
K_DeepCast_100m_m2_162	Bacteroidetes	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	1.13	0.42	0.42	0.21	0	1.23	0.32	0.01	0.08	3.73	74.61	922
K_DeepCast_250m_mx_298	Bathyarchaeota	Archaea	0	0	0	0.02	0	0.01	0	0	0.01	0.01	0	0	0.01	0.01	0	0	0.01	0.45	1.3	1.14	0.69	0	1.1	1.52	0.06	0.04	6.2	55.9	612
K_DeepCast_250m_m2_015	Bathyarchaeota	Archaea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.81	1.45	1.51	1	0.01	1.64	1.59	0	0.01	8	83.96	350
M_surface_7_m1_164	Betaproteobacteria	Bacteria	28.01	23.82	21.36	27.72	26.16	20.06	39.16	22.81	37.74	39.59	37.79	22.81	37.74	39.59	37.79	7.78	5.07	16.28	19.93	12.43	18.56	0.63	16.77	23.3	324.21	150.77	107.89	20.94	15
K_DeepCast_35m_m1_018	Betaproteobacteria	Bacteria	22.55	19.49	17.21	23.72	24.19	15.35	26.97	14.3	26.67	25.73	22.7	14.3	26.67	25.73	22.7	6.94	4.81	16.65	20.43	11.52	17.26	0.48	13.32	17.17	238.9	101.15	96.84	93.23	49
M_DeepCast_100m_m2_214	Betaproteobacteria	Bacteria	10.16	9.72	3.18	4.55	4.66	6.09	8.77	4.5	8.32	9.1	8.84	4.5	8.32	9.1	8.84	2.68	1.93	6.69	8.65	4.49	6.65	0.7	6.87	8.19	77.88	35.36	42.25	95.12	97
K_DeepCast_35m_m1_286	Betaproteobacteria	Bacteria	10.33	6.98	5.59	6.79	5.51	3.91	3.04	1.32	2.86	2.94	2.37	1.32	2.86	2.94	2.37	1.83	1.49	5.67	5.79	4.24	6.68	1.15	4.45	4.4	51.63	12.8	32.37	94.29	353
M_surface_9_m1_249	Betaproteobacteria	Bacteria	4.1	3.97	2.9	4.42	4.22	2.68	3.97	2.65	4.66	3.81	5.56	2.65	4.66	3.81	5.56	1.15	0.83	2.32	2.76	1.87	2.41	0.17	3.07	3.45	42.93	18.65	16.04	99.14	40
K_Offshore_40m_m2_080	Betaproteobacteria	Bacteria	5.73	4.63	3.96	5.23	5.5	1.78	2.18	1.01	2.23	1.9	1.85	1.01	2.23	1.9	1.85	0.6	0.44	2.47	2.83	1.85	2.76	0.05	2.17	1.89	35.99	8.02	14.03	90.98	578
K_Offshore_40m_mx_035	Betaproteobacteria	Bacteria	3.5	2.91	2.12	3.26	2.92	2.15	3.09	2.27	2.94	3.09	2.67	2.27	2.94	3.09	2.67	0.97	0.67	2.29	2.54	1.64	2.36	0.72	1.95	2.55	30.92	12.62	14.04	96.88	195
K_Offshore_0m_mx_055	Betaproteobacteria	Bacteria	3.07	2.51	2.52	3.28	3.11	1.87	2.86	1.73	2.52	2.56	2.39	1.73	2.52	2.56	2.39	0.74	0.52	1.84	2.05	1.39	2.03	0.2	1.65	2.03	28.42	10.46	11.18	45.26	535
M_surface_6_mx_048	Betaproteobacteria	Bacteria	2.82	2.55	1.93	2.81	2.54	1.93	2.76	1.88	2.59	3.04	2.62	1.88	2.59	3.04	2.62	1	0.71	1.99	2.27	1.53	2.07	1.13	1.71	2.59	27.46	11.84	13.29	35.31	904
K_Offshore_40m_m1_237	Betaproteobacteria	Bacteria	2.4	1.92	2.62	3.7	3.04	1.36	1.96	1.35	1.9	1.79	2.14	1.35	1.9	1.79	2.14	0.64	0.5	1.55	1.68	1.14	1.73	0.27	1.21	1.57	24.19	8.32	9.15	98.36	246
M_surface_7_m1_304	Betaproteobacteria	Bacteria	3.14	2.54	1.33	1.6	1.52	2.12	2.67	0.85	2.77	2.35	2.05	0.85	2.77	2.35	2.05	0.98	0.78	1.86	2.15	1.6	2.2	0.6	2.5	2.82	22.95	9.79	13.73	95.83	390
K_Offshore_40m_mx_206	Betaproteobacteria	Bacteria	2.63	2.06	1.92	2.43	2.58	1.06	1.45	0.76	1.42	1.12	1.17	0.76	1.42	1.12	1.17	0.39	0.28	1.33	1.4	1.01	1.49	0.11	1.1	1.07	18.6	5.14	7.52	31.58	827
K_Offshore_40m_mx_130	Betaproteobacteria	Bacteria	1.83	1.49	1.55	2.24	2.06	1.11	1.79	1.4	1.64	1.7	1.58	1.4	1.64	1.7	1.58	0.43	0.32	1.04	1.16	0.78	1.15	0.1	1.01	1.23	18.4	7.07	6.47	56.98	523
K_Offshore_0m_mx_098	Betaproteobacteria	Bacteria	0.83	0.71	1.19	1.59	1.43	0.65	1	0.63	0.9	0.92	0.86	0.63	0.9	0.92	0.86	0.25	0.19	0.54	0.59	0.41	0.59	0.05	0.59	0.71	10.71	3.74	3.48	85.88	1361
K_Offshore_surface_m2_092	Betaproteobacteria	Bacteria	1.36	0.98	1.24	1.42	1.44	0.56	0.67	0.33	0.69	0.59	0.61	0.33	0.69	0.59	0.61	0.18	0.14	0.58	0.64	0.49	0.73	0.02	0.6	0.57	9.89	2.55	3.64	68.85	467
K_Offshore_surface_m1_273	Betaproteobacteria	Bacteria	0.9	0.69	0.77	1.38	1.12	0.59	0.82	0.41	0.69	0.84	0.61	0.41	0.69	0.84	0.61	0.24	0.2	0.63	0.7	0.46	0.66	0.04	0.44	0.64	8.8	2.98	3.57	67.53	638
K_Offshore_surface_m1_010	Betaproteobacteria	Bacteria	0.66	0.55	0.68	0.88	1.05	0.39	0.81	0.42	0.76	0.72	0.64	0.42	0.76	0.72	0.64	0.15	0.11	0.35	0.43	0.29	0.4	0.03	0.35	0.46	7.55	2.8	2.3	91.14	227
K_Offshore_40m_m2_045	Betaproteobacteria	Bacteria	0.61	0.51	0.68	1.18	1	0.45	0.72	0.37	0.65	0.7	0.62	0.37	0.65	0.7	0.62	0.18	0.14	0.39	0.41	0.27	0.39	0.03	0.37	0.47	7.51	2.66	2.32	88.88	635
K_DeepCast_35m_m2_259	Betaproteobacteria	Bacteria	0.91	0.94	0.32	0.66	0.45	0.97	0.35	0.41	0.27	0.55	0.71	0.41	0.27	0.55	0.71	16.48	10.65	5.61	4.78	6.58	8.5	28.44	5.71	8.16	6.55	29.07	67.77	77.09	696
M_surface_10_mx_121	Betaproteobacteria	Bacteria	0.7	0.55	0.49	0.77	0.64	0.45	0.68	0.36	0.55	0.62	0.53	0.36	0.55	0.62	0.53	0.21	0.16	0.45	0.5	0.32	0.48	0.11	0.39	0.51	6.35	2.44	2.77	76.46	1941
K_Offshore_40m_m1_259	Betaproteobacteria	Bacteria	0.77	0.53	0.58	0.8	0.63	0.59	0.54	0.29	0.39	0.56	0.51	0.29	0.39	0.56	0.51	0.48	0.39	0.56	0.65	0.5	0.7	0.66	0.62	1	6.19	2.62	4.69	72.5	500
K_Offshore_40m_m1_292	Betaproteobacteria	Bacteria	0.63	0.43	0.71	0.78	0.72	0.34	0.51	0.2	0.42	0.59	0.33	0.2	0.42	0.59	0.33	0.14	0.15	0.41	0.37	0.3	0.39	0.07	0.37	0.41	5.66	1.83	2.31	73.3	580
K_Offshore_surface_m2_066	Betaproteobacteria	Bacteria	0.44	0.35	0.41	0.63	0.64	0.28	0.45	0.23	0.42	0.45	0.39	0.23	0.42	0.45	0.39	0.12	0.08	0.25	0.28	0.18	0.27	0.03	0.23	0.29	4.68	1.68	1.53	83.47	553
K_DeepCast_65m_m2_129	Betaproteobacteria	Bacteria	0.5	0.56	0.2	0.48	0.33	0.97	0.24	0.31	0.18	0.36	0.55	0.31	0.18	0.36	0.55	32.37	26.12	11.01	8.3	11.8	15.91	57.21	9.7	13.44	4.67	59.9	127.37	98.46	190
M_surface_10_m1_233	Betaproteobacteria	Bacteria	0.42	0.34	0.23	0.38	0.32	0.34	0.44	0.2	0.32	0.39	0.35	0.2	0.32	0.39	0.35	0.17	0.13	0.29	0.32	0.2	0.31	0.06	0.32	0.41	3.74	1.56	1.92	37.23	608
K_Offshore_0m_m1_114	Betaproteobacteria	Bacteria	0.3	0.18	0.65	0.49	0.46	0.23	0.31	0.1	0.27	0.37	0.18	0.1	0.27	0.37	0.18	0.13	0.11	0.22	0.23	0.19	0.27	0.13	0.31	0.4	3.55	1.16	1.74	59.34	1025
K_Offshore_80m_m2_113	Betaproteobacteria	Bacteria	0.67	0.4	0.15	0.19	0.14	0.51	0.23	0.11	0.13	0.32	0.24	0.11	0.13	0.32	0.24	0.28	0.26	0.43	0.37	0.4	0.52	0.96	0.6	0.7	3.08	1.33	3.98	95.18	366
K_Offshore_40m_m2_212	Betaproteobacteria	Bacteria	0.43	0.34	0.15	0.35	0.2	0.4	0.17	0.17	0.13	0.26	0.31	0.17	0.13	0.26	0.31	6.11	3.9	2.08	1.81	2.2	2.86	10.02	1.91	2.82	2.91	10.87	23.71	55.83	584
K_Offshore_surface_m1_265	Betaproteobacteria	Bacteria	0.26	0.18	0.16	0.21	0.22	0.22	0.16	0.1	0.12	0.19	0.18	0.1	0.12	0.19	0.18	1.06	0.73	0.46	0.44	0.46	0.62	1.68	0.44	0.69	2.01	2.37	4.8	73.06	713
M_surface_6_m1_036	Betaproteobacteria	Bacteria	0.21	0.18	0.09	0.16	0.12	0.2	0.1	0.14	0.08	0.14	0.17	0.14	0.08	0.14	0.17	3.02	1.98	1.04	0.9	1.1	1.4	4.91	0.94	1.38	1.59	5.53	11.67	28.64	371
M_surface_10_m1_315	Betaproteobacteria	Bacteria	0.02	0.02	0.04	0.03	0.12	0.02	0.88	0.05	0.33	0.06	0.03	0.05	0.33	0.06	0.03	0.02	0.01	0.02	0.03	0.03	0.04	0.06	0.03	0.05	1.59	0.49	0.26	68.73	531
K_Offshore_120m_m1_203	Betaproteobacteria	Bacteria	0.08	0.07	0.06	0.07	0.08	0.05	0.14	0.15	0.19	0.14	0.08	0.15	0.19	0.14	0.08	0.13	0.21	0.17	0.12	0.15	0.19	1.57	0.16	0.2	1.11	0.89	2.57	74.14	505
