MAG	Taxonomy	Domain	KigCas0	KigCa35	KigOff0	KigOff40	KigOffSurface	MahCa10	Mahsurface_10	Mahsurface_6	Mahsurface_7	Mahsurface_8	Mahsurface_9	MahCa50	MahCa65	KigCa65	KigOff80	KigC100	MahC100	KigC150	KigC250	KigC300	KigC1200	KigOff120	MahC200	MahC400	Epi	Oxy	Hypo	Completeness	Nb of Scaffolds
M_DeepCast_200m_m1_155	Actinobacteria	Bacteria	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0.03	0.5	0.49	0.59	0.5	0	0.68	0.56	0.02	0.04	3.31	94.83	1417
M_DeepCast_400m_m2_130	Actinobacteria	Bacteria	0	0	0	0	0	0	0	0	0.01	0	0	0	0.01	0	0	0	0.06	1.48	2.77	4.56	3.91	0.01	2.62	5.72	0.02	0.08	21.07	93.16	322
K_DeepCast_150m_m2_294	Actinobacteria	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	1.05	0.79	1	0.85	0.01	1.15	0.94	0.02	0.04	5.79	87.27	351
K_DeepCast_150m_m2_272	Actinobacteria	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	1.4	0.74	1.06	0.89	0.01	1.69	0.88	0.02	0.09	6.67	62.95	695
K_DeepCast_250m_m1_088	Actinobacteria	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.03	0.58	0.73	0.78	0.69	0.03	0.8	0.78	0.01	0.04	4.41	66.22	909
K_DeepCast_100m_m2_081	Actinobacteria	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	3.1	4.52	5.74	5.46	0	5.6	5.77	0.01	0.08	30.19	38.44	533
K_DeepCast_100m_m1_216	Actinobacteria	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0.67	0.26	0.32	0.29	0	0.42	0.24	0	0.07	2.2	22.06	184
K_DeepCast_1200m_m2_204	Actinobacteria	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0.83	1.41	1.95	0	0.48	1.45	0	0	6.26	89.01	372
K_DeepCast_150m_m2_097	Actinobacteria	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19	2.62	1.38	1.69	1.43	0.01	2.08	1.31	0	0.19	10.51	96.82	235
K_DeepCast_1200m_m2_005	Actinobacteria	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	1.37	1.57	1.95	1.94	0	2.03	1.95	0	0.04	10.81	67.04	568
K_DeepCast_100m_m1_278	Actinobacteria	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	2.43	2.07	2.5	2.15	0.01	2.85	2.34	0	0.21	14.35	70.3	722
K_DeepCast_150m_m1_051	Actinobacteria	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	1.34	0.91	1.08	0.97	0	1.24	0.88	0	0.06	6.41	68.39	519
M_DeepCast_200m_mx_161	Actinobacteria	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.4	0.47	0.59	0.52	0	0.68	0.6	0	0.01	3.26	34.08	177
K_DeepCast_1200m_m2_173	Actinobacteria acI-B1	Bacteria	28.83	24.49	16.33	34.89	24.52	19.56	28.81	27.73	26.94	31.4	28.46	27.73	26.94	31.4	28.46	7.72	4.28	19.49	23.09	14.84	20.6	5.84	12.36	27.8	291.98	126.53	124.02	79.65	206
M_DeepCast_10m_mx_089	Actinobacteria acI-B1	Bacteria	21.25	18.5	14.35	23.76	18.76	15.65	24.05	21.74	21.86	28.1	24.42	21.74	21.86	28.1	24.42	5.85	3.89	13.3	16.72	10.75	13.14	3.23	10.05	21.73	232.44	105.86	88.93	45.64	58
K_DeepCast_250m_m2_310	Actinobacteria acI-B1	Bacteria	8.53	6.77	4.58	9.96	6.98	5.26	7.92	7.65	7.53	9.27	8	7.65	7.53	9.27	8	2.05	1.15	5.27	6.33	3.85	5.35	1.52	3.21	7.26	82.46	35.65	32.77	93.1	129
K_DeepCast_65m_m2_120	Actinobacteria acI-B1	Bacteria	6.61	5.23	3.11	6.84	4.77	4.07	6.26	5.78	5.78	7.19	6.05	5.78	5.78	7.19	6.05	1.61	0.87	4.12	4.89	2.97	4.02	1.21	2.44	5.51	61.67	27.27	25.16	96.55	213
M_DeepCast_50m_m2_266	Actinobacteria acI-B1	Bacteria	6.05	4.82	3.31	7.17	5	3.72	5.69	5.4	5.42	6.62	5.75	5.4	5.42	6.62	5.75	1.47	0.81	3.68	4.36	2.6	3.65	1.03	2.17	4.98	58.95	25.47	22.46	79.74	248
K_DeepCast_65m_m2_221	Actinobacteria acI-B1	Bacteria	4.57	4.5	3.42	6.22	4.69	4.01	5.23	5.14	5.21	5.96	6.14	5.14	5.21	5.96	6.14	35.47	28.26	12.82	10.3	11.26	13.92	73.23	10.01	18.06	55.08	86.17	149.61	81.15	25
K_Offshore_40m_m2_034	Actinobacteria acI-B1	Bacteria	5.47	4.2	2.36	5.34	3.66	3.26	5.09	4.58	4.68	5.96	4.92	4.58	4.68	5.96	4.92	1.29	0.71	3.26	3.99	2.25	3.01	0.96	1.78	4.16	49.52	22.14	19.4	70.8	58
M_DeepCast_10m_m2_141	Actinobacteria acI-B1	Bacteria	4.35	3.4	2.18	4.78	3.33	2.69	4.07	3.82	3.81	4.84	4.11	3.82	3.81	4.84	4.11	1.03	0.58	2.57	3.07	1.82	2.45	0.73	1.52	3.49	41.38	18.19	15.66	79.61	111
M_surface_9_m1_114	Actinobacteria acI-B1	Bacteria	1.44	0.96	0.57	1.36	0.98	0.74	1.15	1.04	1.14	1.62	1.21	1.04	1.14	1.62	1.21	0.3	0.16	0.72	0.95	0.46	0.62	0.2	0.35	0.89	12.2	5.46	4.19	9.77	5
M_surface_7_m2_032	Actinobacteria acI-B1	Bacteria	1.15	0.86	0.62	1.47	1.06	0.63	1	0.99	1.02	1.26	1.09	0.99	1.02	1.26	1.09	0.26	0.14	0.64	0.75	0.39	0.61	0.17	0.34	0.79	11.14	4.76	3.71	50.83	32
K_Offshore_0m_m1_007	Actinobacteria acI-C	Bacteria	7.54	7.88	4.11	7.37	6.63	7.31	9.33	9.89	9.12	13.61	10.86	9.89	9.12	13.61	10.86	2.85	1.9	5.32	7.84	4.47	5.44	1	4.22	11.89	93.64	48.22	40.19	86.94	86
M_surface_9_m1_009	Actinobacteria acI-C	Bacteria	2.01	1.92	1.49	2.6	2.02	1.51	2.14	2.16	2.12	2.57	2.51	2.16	2.12	2.57	2.51	0.6	0.42	1.2	1.71	1	1.21	0.38	0.9	2.22	23.04	10.38	8.61	82.45	81
M_surface_9_m1_017	Actinobacteria acI-C	Bacteria	1.75	1.59	1.05	1.79	1.31	1.23	1.72	1.67	1.69	1.92	1.95	1.67	1.69	1.92	1.95	0.48	0.32	1.06	1.39	0.85	1.02	0.31	0.77	1.74	17.66	8.03	7.15	81.75	177
