MAG	Taxonomy	Domain	KigC100	KigC1200	KigC150	KigC250	KigC300	KigCa35	KigCa65	KigCas0	KigOff0	KigOff120	KigOff40	KigOff80	KigOffSurface	MahC100	MahC200	MahC400	MahCa10	MahCa50	MahCa65	Mahsurface_10	Mahsurface_6	Mahsurface_7	Mahsurface_8	Mahsurface_9
M_surface_10_mx_236	Ignavibacteria	Bacteria	59.35792804	32.24885079	45.97276931	44.3486545	26.04383228	133.797964	61.32321746	88.19111958	31.12769947	25.36290847	81.80292646	51.12730159	100.1224413	80.3794963	54.40044233	49.71111693	76.5548328	28.05568201	18.81522275	110.4420354	262.726618	185.1948243	110.1900709	184.9773503
K_DeepCast_100m_m2_316	Ignavibacteria	Bacteria	63.68175333	26.325845	43.51468333	44.52791333	40.30672667	0.045768333	0.987238333	0.06355	0.043658333	1.763931667	0.03546	0.058851667	0.048078333	10.42249667	41.871375	43.83361	0.032741667	0.1527	29.04334833	0.056645	0.016143333	0.035776667	0.02538	0.028236667
K_DeepCast_100m_m2_118	Ignavibacteria	Bacteria	121.0304296	64.7279284	104.1675228	116.5059593	111.9297901	0.039205556	0.450183951	0.009519136	0.004503704	0.245630247	0.011541358	0.005222222	0.01995679	28.71463272	132.8942969	96.26824877	0.009868519	0.011408025	22.59696728	0.010710494	0.025910494	0.040500617	0.024782099	0.019855556
K_DeepCast_250m_m1_364	Ignavibacteria	Bacteria	3.069835165	8.376658974	5.687361538	15.80449451	14.86384396	0.005455311	0.010026007	0.003217216	0.002550549	0.004377656	0.005849817	0.001857509	0.005409158	0.964139194	12.55760147	16.00750073	0.00399011	0.016925275	0.151854212	0.006398535	0.004054579	0.008111722	0.017244689	0.006397436
M_DeepCast_65m_m1_282	Ignavibacteria	Bacteria	21.89683312	1.90666242	3.942506369	1.924575796	3.030624204	0.003610828	0.036929936	0.002300637	0.000718471	0.025750955	0.001146497	0.003974522	0.001486624	5.878759873	3.205842038	2.365189809	0.001919745	0.00799172	42.39906051	0.001866879	0.00263121	0.003578981	0.003066879	0.00147707
M_DeepCast_400m_m2_062	Ignavibacteria	Bacteria	2.533956117	29.14752952	6.887405319	22.29107793	31.90727793	0.002659574	0.009421809	0.001545213	0.000819947	0.010643883	0.001225532	0.000387234	0.001303191	0.487148404	15.70369282	42.25222553	0.002062234	0.002984309	0.265501862	0.003986436	0.001699202	0.007060904	0.005301596	0.002398138
K_DeepCast_100m_m2_176	Ignavibacteria	Bacteria	230.9813599	44.43837647	109.218707	67.87929733	61.26179465	0.015534225	1.394839572	0.001340107	0.001991444	1.265378075	0.001018182	0.01289893	0.001084492	55.1028123	80.14192567	46.70521123	0.00551016	0.153011765	60.98455722	0.004841711	0.056251872	0.04205508	0.003638503	0.009361497
K_DeepCast_100m_m2_241	Kirimatiellacea	Bacteria	13.00568529	1.513088699	4.420993603	1.316544136	1.839042431	0.006656077	0.021054371	0.006085075	0.004777825	0.064559915	0.005373561	0.014685288	0.016460981	4.281529424	3.181666951	1.429292964	0.00444371	0.005467591	0.127036034	0.047058209	0.229404904	0.082185714	0.066850107	0.055566098
M_DeepCast_200m_m2_085	Lentisphaerae	Bacteria	2.411347706	5.551372936	1.903455046	17.35484358	10.59837615	0.094082569	0.084581651	0.064165596	0.068749083	0.097099541	0.058207339	0.097469266	0.119271101	0.376311009	30.6108	12.77195826	0.043182569	0.071777064	0.148894954	0.047278899	0.070795413	0.083637156	0.121278899	0.036904128
M_DeepCast_400m_m2_230	Lentisphaerae	Bacteria	8.844545517	16.96863724	11.17028828	40.47231103	28.10098138	0.03120069	0.113377931	0.035555172	0.014070345	0.196628276	0.024511724	0.337204138	0.015357241	1.582709655	47.0107669	42.0611269	0.033484138	0.11184069	0.097797241	0.034506207	0.028029655	0.053470345	0.038687586	0.035991034
M_DeepCast_200m_m2_127	Lentisphaerae	Bacteria	8.287280056	1.470352247	4.096005618	3.143640169	2.223765169	0.013827528	0.132844101	0.013744382	0.005044382	0.277326404	0.009131461	0.272955337	0.007033989	1.566567416	8.96961573	2.87668764	0.028325843	0.176905337	0.114250281	0.024242697	0.021333146	0.036734551	0.014630056	0.022623034
K_DeepCast_250m_m2_056	Lentisphaerae	Bacteria	8.937494239	7.706025514	6.361957613	18.20683827	12.6378786	0.009388889	0.033799177	0.007582305	0.016023457	0.035026749	0.015649794	0.03215679	0.012547325	2.067590535	17.38437284	12.95420165	0.008130041	0.024388889	0.052944444	0.032520576	0.019060905	0.069204938	0.023224691	0.02048642
K_DeepCast_250m_m2_117	Micrarchaeota	Archaea	6.472458582	5.559419403	9.148531343	12.50052239	9.798399254	0.002778358	0.011631343	4.44E-05	0	0.010271642	0	0.001377239	0.000349254	1.46270709	15.39706194	9.432988806	0.001026493	0.004660821	0.493038433	0.001311194	0.002386194	0.01038694	0.001325373	0.003085448
